Country,Auto,Cultura,Diverse,Divertisment,Economie,Educatie,Justitie,Lifestyle,Locale,Politica,Sanatate,Social,Sport,Stiri,Tehnologie,Turism
Romania,"Mean: 5.600660066006601, Median: 5.0, Std dev: 3.2753192723748374","Mean: 5.613301473516527, Median: 5.0, Std dev: 3.412180709262932","Mean: 5.403568371698442, Median: 5.0, Std dev: 3.2341992568984796","Mean: 5.089544535718894, Median: 4.0, Std dev: 3.1823264707853167","Mean: 5.459404719971821, Median: 5.0, Std dev: 3.420038199649928","Mean: 5.434491419003767, Median: 5.0, Std dev: 3.174102372565409","Mean: 5.680732484076433, Median: 5.0, Std dev: 3.6074248589746962","Mean: 5.252813852813853, Median: 5.0, Std dev: 3.18398337895951","Mean: 5.141808730219402, Median: 5.0, Std dev: 3.108392048018299","Mean: 5.441450239570299, Median: 5.0, Std dev: 3.520399602827184","Mean: 5.287506879471657, Median: 5.0, Std dev: 3.205509704164296","Mean: 5.5965387724052675, Median: 5.0, Std dev: 3.5990526074396705","Mean: 5.17363428442878, Median: 5.0, Std dev: 3.167829978822963","Mean: 5.320666800098534, Median: 5.0, Std dev: 3.339209102945649","Mean: 5.243353601704318, Median: 5.0, Std dev: 3.2656603316763215","Mean: 5.09937106918239, Median: 5.0, Std dev: 2.91583179832859"
Moldova,N/A,"Mean: 5.452595040845193, Median: 5.0, Std dev: 5.6640341942141","Mean: 5.309331785646136, Median: 5.0, Std dev: 3.337108140048604","Mean: 5.525937628304682, Median: 5.0, Std dev: 3.4653434666004523","Mean: 5.448890059862628, Median: 5.0, Std dev: 3.4213425775147344","Mean: 5.549306170652494, Median: 5.0, Std dev: 3.445122061402344","Mean: 5.93201581027668, Median: 6.0, Std dev: 3.6749195517422057","Mean: 5.302803363819983, Median: 5.0, Std dev: 3.1784811441117795","Mean: 5.600110685296708, Median: 5.0, Std dev: 3.6287914821587193","Mean: 5.671197219396015, Median: 5.0, Std dev: 3.5732858842895556",N/A,"Mean: 5.4417094514277045, Median: 5.0, Std dev: 3.4452988390847317","Mean: 5.161328488300315, Median: 5.0, Std dev: 3.261869303949789","Mean: 5.432707643673019, Median: 5.0, Std dev: 3.3304712125911515","Mean: 5.118650979263363, Median: 5.0, Std dev: 3.1068769784475414",N/A
